https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1621296000000,2021-05-18 00:00:00,BTC/USDT,43565.11,43798.69,43189.26,43658.82,4709.385,204773560.84862,47882
1621292400000,2021-05-17 23:00:00,BTC/USDT,42941.77,43882.56,42525.30,43566.18,37282.294,1612674446.91172,360151
1621288800000,2021-05-17 22:00:00,BTC/USDT,43576.58,44445.10,42664.19,42944.15,32625.884,1419226676.44780,334351
1621285200000,2021-05-17 21:00:00,BTC/USDT,44800.00,44860.00,43328.72,43576.59,22290.779,983218329.53818,246581
1621281600000,2021-05-17 20:00:00,BTC/USDT,44246.99,44995.00,44104.16,44800.00,19946.818,888274921.66572,188541
1621278000000,2021-05-17 19:00:00,BTC/USDT,43535.00,44429.59,43535.00,44246.97,23190.972,1022309713.19517,243027
1621274400000,2021-05-17 18:00:00,BTC/USDT,42641.35,43785.78,42368.02,43535.00,38485.323,1663467546.27251,417928
1621270800000,2021-05-17 17:00:00,BTC/USDT,42629.98,43232.35,42151.00,42641.47,47621.416,2032142420.80712,512050
1621267200000,2021-05-17 16:00:00,BTC/USDT,43401.14,43884.89,42563.36,42629.97,49378.243,2133566014.56526,533852
1621263600000,2021-05-17 15:00:00,BTC/USDT,44488.80,44686.58,43207.31,43401.14,39664.373,1740434847.31815,419376
1621260000000,2021-05-17 14:00:00,BTC/USDT,45070.56,45185.96,43810.00,44488.79,33229.711,1473468791.58295,336694
1621256400000,2021-05-17 13:00:00,BTC/USDT,44980.96,45284.50,44610.11,45072.32,20884.778,937750120.93168,212102
1621252800000,2021-05-17 12:00:00,BTC/USDT,45799.97,45861.41,44757.58,44980.97,25539.248,1155001700.92118,241534
1621249200000,2021-05-17 11:00:00,BTC/USDT,44620.28,45874.20,44428.00,45799.97,27757.133,1256932572.53718,288101
1621245600000,2021-05-17 10:00:00,BTC/USDT,45458.59,45550.00,44500.00,44620.50,24701.158,1112071205.57867,217359
1621242000000,2021-05-17 09:00:00,BTC/USDT,45355.42,45567.48,45012.00,45458.58,18741.856,847453611.03533,177796
1621238400000,2021-05-17 08:00:00,BTC/USDT,45175.74,45565.44,44740.00,45359.03,27949.471,1264204787.38598,292137
1621234800000,2021-05-17 07:00:00,BTC/USDT,44380.76,45273.31,44160.42,45182.45,23292.745,1042144292.63830,242309
1621231200000,2021-05-17 06:00:00,BTC/USDT,44257.20,45347.96,43935.68,44380.76,56242.741,2514110682.68556,600150
1621227600000,2021-05-17 05:00:00,BTC/USDT,43635.46,44322.99,42476.39,44250.94,39798.912,1719318944.09412,413710
1621224000000,2021-05-17 04:00:00,BTC/USDT,42991.01,43811.73,42200.00,43635.46,63599.582,2742383862.28028,580688
1621220400000,2021-05-17 03:00:00,BTC/USDT,44550.01,44786.00,42759.57,42990.79,60725.827,2649762605.87153,558421
1621216800000,2021-05-17 02:00:00,BTC/USDT,44923.00,45298.89,44288.00,44550.01,24425.424,1093324926.77639,226736
1621213200000,2021-05-17 01:00:00,BTC/USDT,45576.24,45648.06,44524.51,44923.00,31197.007,1406892573.09926,309859
1621209600000,2021-05-17 00:00:00,BTC/USDT,46429.28,46655.00,45504.83,45577.77,20557.670,948181597.79987,205185
1621206000000,2021-05-16 23:00:00,BTC/USDT,45577.59,46500.00,45383.97,46429.28,26104.867,1198315896.78183,225905
1621202400000,2021-05-16 22:00:00,BTC/USDT,45209.97,46277.70,45181.42,45572.15,28191.055,1291132808.22891,283044
1621198800000,2021-05-16 21:00:00,BTC/USDT,44116.16,45615.78,43920.00,45207.65,44710.999,2002024226.71725,512119
1621195200000,2021-05-16 20:00:00,BTC/USDT,45572.68,45869.18,43866.00,44126.46,64687.126,2898901504.83949,694631
1621191600000,2021-05-16 19:00:00,BTC/USDT,45400.31,46230.99,44368.52,45573.29,62782.910,2850898715.91834,686114
1621188000000,2021-05-16 18:00:00,BTC/USDT,47109.12,47403.45,45300.00,45400.31,56729.712,2628925293.72056,573769
1621184400000,2021-05-16 17:00:00,BTC/USDT,47327.43,47501.52,46225.99,47109.26,42366.480,1988897242.56913,404741
1621180800000,2021-05-16 16:00:00,BTC/USDT,47812.33,48162.92,47034.24,47327.43,29990.296,1426363548.87379,324924
1621177200000,2021-05-16 15:00:00,BTC/USDT,48338.80,48381.80,47694.71,47812.34,21280.942,1022312100.13071,200191
1621173600000,2021-05-16 14:00:00,BTC/USDT,48970.49,49368.57,48105.00,48338.80,25195.971,1225232699.51767,227954
1621170000000,2021-05-16 13:00:00,BTC/USDT,48657.97,49069.11,48529.27,48970.48,16894.768,824254711.68430,140691
1621166400000,2021-05-16 12:00:00,BTC/USDT,49044.01,49182.10,48560.00,48658.09,14332.800,700645098.02471,133536
1621162800000,2021-05-16 11:00:00,BTC/USDT,49591.78,49661.11,48937.00,49044.01,12963.718,638703663.59337,122145
1621159200000,2021-05-16 10:00:00,BTC/USDT,49280.99,49829.39,49244.27,49590.80,12818.343,634451869.56671,128005
1621155600000,2021-05-16 09:00:00,BTC/USDT,48916.35,49495.00,48905.91,49280.99,11301.729,556448687.16972,111026
1621152000000,2021-05-16 08:00:00,BTC/USDT,49400.00,49433.92,48670.11,48916.34,14071.790,689122022.10384,132921
1621148400000,2021-05-16 07:00:00,BTC/USDT,49089.99,49400.00,48856.80,49400.00,12150.562,596079088.20929,117121
1621144800000,2021-05-16 06:00:00,BTC/USDT,48214.80,49520.00,48187.00,49089.11,21713.152,1066268976.45814,198172
1621141200000,2021-05-16 05:00:00,BTC/USDT,48150.00,48396.21,48083.49,48214.81,8745.460,422001823.63657,86480
1621137600000,2021-05-16 04:00:00,BTC/USDT,48428.12,48831.29,48093.15,48149.99,13119.459,635672613.43880,127964
1621134000000,2021-05-16 03:00:00,BTC/USDT,48168.43,48460.09,47777.00,48436.00,10871.271,522592061.02956,106117
1621130400000,2021-05-16 02:00:00,BTC/USDT,48089.37,48359.72,47983.11,48168.43,8735.159,420465024.29739,86279
1621126800000,2021-05-16 01:00:00,BTC/USDT,47315.13,48259.70,47315.13,48089.36,14303.555,685102049.54523,151339
1621123200000,2021-05-16 00:00:00,BTC/USDT,46794.62,47739.66,46481.14,47313.51,30475.506,1439315705.81962,310695
1621119600000,2021-05-15 23:00:00,BTC/USDT,48019.03,48100.00,46584.32,46793.41,33553.948,1582872916.79619,324243
1621116000000,2021-05-15 22:00:00,BTC/USDT,48479.56,48733.03,47777.80,48019.03,14309.279,690224225.87456,142062
